DateTime,OPEN,CLOSE,VOLUME,AMT
2016/3/15,3061.3427,3074.7796,9831194100,1.01303E+11
2016/3/16,3068.8664,3090.0328,12473644800,1.26129E+11
2016/3/17,3096.8076,3124.2039,12166177700,1.36604E+11
2016/3/18,3136.223,3171.963,19730256400,2.10018E+11
2016/3/21,3203.2929,3249.4372,23326946400,2.56837E+11
2016/3/22,3231.6146,3225.7903,16102089700,1.94212E+11
2016/3/23,3217.7288,3236.0924,12567928600,1.55567E+11
2016/3/24,3211.496,3181.8507,13313112200,1.62436E+11
2016/3/25,3176.8101,3197.8169,9739533000,1.15196E+11
2016/3/28,3206.9532,3169.7283,10344193300,1.23844E+11
2016/3/29,3171.3138,3135.4098,9729474700,1.13844E+11
2016/3/30,3161.2886,3216.2753,11780251200,1.40722E+11
2016/3/31,3229.1995,3218.0879,12155207400,1.47268E+11
2016/4/1,3213.674,3221.8948,11812213900,1.2705E+11
2016/4/5,3211.3046,3264.4858,14604777200,1.59297E+11
2016/4/6,3250.5215,3257.5276,12019630500,1.37206E+11
2016/4/7,3266.2883,3209.2902,11240946700,1.28273E+11
2016/4/8,3189.8456,3185.7258,10100562500,1.13921E+11
2016/4/11,3213.507,3230.0957,12521270900,1.42759E+11
2016/4/12,3227.3673,3218.4497,9286943700,99086557951
2016/4/13,3237.8575,3261.3831,19561386600,2.0016E+11
2016/4/14,3277.0982,3275.8321,11315732700,1.17989E+11
2016/4/15,3279.8566,3272.2053,9980752900,1.07964E+11
2016/4/18,3252.6706,3228.4531,9709006900,1.03956E+11
2016/4/19,3243.9712,3238.3029,8087144000,90976236261
2016/4/20,3244.1419,3181.0264,16220785800,1.72325E+11
2016/4/21,3160.7958,3160.6033,10475265100,1.10324E+11
2016/4/22,3142.5611,3174.9012,7707849200,82442921903
2016/4/25,3164.7384,3162.0331,6751935100,74734848036
2016/4/26,3159.7706,3179.1605,5902073400,68871554173
2016/4/27,3181.9305,3165.9156,6000414700,70620405995
2016/4/28,3169.3333,3160.5809,6987066000,78876767222
2016/4/29,3153.5371,3156.7451,5802977600,70807704222
2016/5/3,3159.823,3213.5397,9816483500,1.15734E+11
2016/5/4,3203.4653,3209.4614,9086240800,97797134813
2016/5/5,3204.1686,3213.9199,7473368100,83946496908
2016/5/6,3213.1358,3130.3544,10868024000,1.19265E+11
2016/5/9,3115.4301,3065.6154,9923047700,1.00409E+11
2016/5/10,3055.2119,3069.1124,6884993500,70650764147
2016/5/11,3080.6361,3082.8086,8179425800,87323408342
2016/5/12,3059.3831,3090.1372,7876572600,81418792606
2016/5/13,3081.6797,3074.9351,6262975500,65850995649
2016/5/16,3064.5261,3095.3085,5946185600,64405200020
2016/5/17,3095.5229,3086.0249,6527812500,75389385458
2016/5/18,3071.5292,3068.0358,8271536900,88458847115
2016/5/19,3060.3426,3062.5002,6044416600,68679060392
2016/5/20,3047.7778,3078.2183,5608084200,65124251092
2016/5/23,3078.515,3087.2225,5969721600,70337514484
2016/5/24,3083.2441,3063.5556,5873438500,61106015446
2016/5/25,3079.7486,3059.2259,5665280300,63316562530
2016/5/26,3056.6004,3064.2111,6039298100,65985183919
2016/5/27,3059.732,3062.4993,6046875000,59371777079
2016/5/30,3056.3138,3066.7095,6309857900,63496565009
2016/5/31,3068.5964,3169.5598,13886311100,1.51398E+11
2016/6/1,3172.9619,3160.547,11314848200,1.31701E+11
2016/6/2,3158.0259,3167.0997,8600342700,97093625345
2016/6/3,3172.946,3189.3255,10149178300,1.36332E+11
